source,item_id,title_id,title,creators,language,year,period,genre,non_english_title,subfield,biology_hits,subjects,volume_info,barcode,item_url,item_text_url,copyright_status,rights_statement,license_type,rights_holder,work_id,period_bin
BHL,54567,16163,"Wodarch's introduction to the study of conchology : describing the orders, genera, and species of shells : with observations on the nature and properties of the animals and directions for collecting, preserving, and cleaning shells","Wodarch, Charles.; Mawe, John, 1764-1829; Crouch, Edmund A. C.",ENG,1825,1800_1829,textbook_manual,0,taxonomy_systematics,animal;animals;conchology,Shells; Shellfish,,wodarchsintroduc00wodarc,https://www.biodiversitylibrary.org/item/54567,https://www.biodiversitylibrary.org/itemtext/54567,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16163,1800_1829
BHL,51574,14959,Mesozoic fossils,"Geological Survey of Canada; Whiteaves, Joseph Frederick, 1835-1909",ENG,1876,1870_1879,monograph_or_book,0,paleontology,paleontology,British Columbia; Canada; Haida Gwaii (B.C.); Fossils; Mesozoic; Paleontology; Vancouver Island (B.C.),v.1:pt.1-5,mesozoicfossils115geol,https://www.biodiversitylibrary.org/item/51574,https://www.biodiversitylibrary.org/itemtext/51574,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,14959,1870_1889
BHL,51953,15191,Marine shells of South Africa,"Sowerby, G. B. (George Brettingham), 1812-1884",ENG,1894,1890_1899,monograph_or_book,0,taxonomy_systematics,classification,Classification; Identification; Mollusks; Shells; South Africa,,marineshellsofso00sowerb,https://www.biodiversitylibrary.org/item/51953,https://www.biodiversitylibrary.org/itemtext/51953,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,15191,1890_1909
BHL,56398,17191,The nature and development of animal intelligence,"Mills, Wesley 1847-1915",ENG,1898,1890_1899,monograph_or_book,0,embryology_development,animal,"Animal intelligence; Psychology, Comparative",,naturedevelopmen00millrich,https://www.biodiversitylibrary.org/item/56398,https://www.biodiversitylibrary.org/itemtext/56398,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,17191,1890_1909
BHL,53862,15918,Miocene,Maryland Geological Survey.,ENG,1904,1900_1909,monograph_or_book,0,paleontology,paleontology,"Geology; Geology, Stratigraphic; Maryland; Miocene; Paleontology",v.2:pt.2 (1904) [Miocene],miocene02mary,https://www.biodiversitylibrary.org/item/53862,https://www.biodiversitylibrary.org/itemtext/53862,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,15918,1890_1909
BHL,54015,15974,A contribution to insect embryology,"Wheeler, William Morton, 1865-1937",ENG,1893,1890_1899,monograph_or_book,0,embryology_development,embryology,Embryology; Insects,,contributiontoin00whee,https://www.biodiversitylibrary.org/item/54015,https://www.biodiversitylibrary.org/itemtext/54015,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,15974,1890_1909
BHL,59436,19614,The growth of groups in the animal kingdom,"Lloyd, R. E.",ENG,1912,1910_1919,monograph_or_book,0,evolution_adaptation,animal;evolution,Evolution,,growthofgroupsin00lloyiala,https://www.biodiversitylibrary.org/item/59436,https://www.biodiversitylibrary.org/itemtext/59436,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,19614,1910_1929
BHL,53326,15782,The development of the chick; an introduction to embryology,"Lillie, Frank Rattray, 1870-1947",ENG,1908,1900_1909,textbook_manual,0,embryology_development,embryology,Birds; Embryology,,developmentofchi00lillief,https://www.biodiversitylibrary.org/item/53326,https://www.biodiversitylibrary.org/itemtext/53326,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,15782,1890_1909
BHL,53554,15841,A statement submitted in re the fur-seal herd of Alaska to the House Committee on expenditures in the Department of Commerce,"Elliott, Henry Wood, 1846-1930; United States. Congress. House. Committee on Expenditures in the Department of Commerce.",ENG,1913,1910_1919,monograph_or_book,0,general_or_unknown,animal;animals,Pribilof Islands; Sealing; Seals (Animals),,statementsubmitt00elli,https://www.biodiversitylibrary.org/item/53554,https://www.biodiversitylibrary.org/itemtext/53554,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,15841,1910_1929
BHL,55183,16342,"British conchology, or, An account of the Mollusca which now inhabit the British Isles and the surrounding seas","Jeffreys, John Gwyn 1809-1885; Sowerby, G. B. (George Brettingham), 1812-1884; Sowerby, W.",ENG,1863,1860_1869,monograph_or_book,0,general_or_unknown,conchology,Great Britain; Mollusks; Pictorial works; Shells,v.2 (1863),britishconcholog02jeffr,https://www.biodiversitylibrary.org/item/55183,https://www.biodiversitylibrary.org/itemtext/55183,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16342,1850_1869
BHL,53034,15229,The illustrated natural history,"Wood, J. G. (John George), 1827-1889; Goode, G. Brown (George Brown), 1851-1896",ENG,1859,1850_1859,monograph_or_book,0,natural_history_ecology_behavior,natural history;zoology,Pictorial works; Popular works; Zoology,v.1 [1859],illustratednatur01wood,https://www.biodiversitylibrary.org/item/53034,https://www.biodiversitylibrary.org/itemtext/53034,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,15229,1850_1869
BHL,57518,13281,"Guide to the gallery of birds in the department of zoology, British Museum (Natural History)",British Museum (Natural History). Department of Zoology.,ENG,1921,1920_1929,monograph_or_book,0,natural_history_ecology_behavior,natural history;zoology,Birds,pt.1 (1921),guidetogalleryof00britrich,https://www.biodiversitylibrary.org/item/57518,https://www.biodiversitylibrary.org/itemtext/57518,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,13281,1910_1929
BHL,54498,16131,"Morgan expeditions, 1870-'71 ... : on the Devonian trilobites and mollusks of Ereré, province of Pará, Brazil","Hartt, Charles Frederick, 1840-1878; Rathbun, Richard, 1852-1918; Lyceum of Natural History (New York, N.Y.)",ENG,1875,1870_1879,monograph_or_book,0,paleontology,paleontology,"Belém; Brazil; Brachiopoda, Fossil; Devonian; Mollusks, Fossil; Paleontology",,morganexpedition01hart,https://www.biodiversitylibrary.org/item/54498,https://www.biodiversitylibrary.org/itemtext/54498,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16131,1870_1889
